bank,time,ProfitAfterTax,LoanNadvance,POLA,Off balance sheet item,POB,Total earning assets,POOEA,TOTAL deposit,POD,Fixed assets,POF,Labor,POL
9,4,3912,107288,0.145804,58560,0.086783,2407,0.015227,127178,0.092492,7373,0.035806,1848,0.462662
10,4,5127,115506,0.088333,40255,0.107341,8869,0.052513,139484,0.073148,3288,0.071776,2962,0.602296
11,4,2521,81774,0.067,58123,0.047,1837,0.016,75536,0.084,4453,0.070514,1214,1.226524
12,4,748,64641,0.072013,36232,0.080537,2019,0.022056,73106,0.063661,2204,0.095735,2383,0.665548
13,4,4841,305840,0.008606,113420,0.067792,7110,0.018269,341853,0.053827,7100,0.057606,11465,0.405757
14,4,3946,77714,0.005,21482,0.072,880973,8.251283156,82186,0.067,968,0.112,1807,0.496
15,4,1901,59149,0.07399956,20251,0.216137,7095,0.084058,66852,0.067926,2134,0.038425,1375,0.657455
16,4,2009,99699,0.014875,54929,0.050083,1866,0.014368,107881,0.086734,439,0.33713,1724,0.776102
17,4,2387,80592,0.016143041,34083,0.05023032,1344,0.012533923,83350,0.088494301,1525,0.076721311,1624,0.600369458
1,5,540,103624,0.098,18146,0.372,11999,0.069,134646,0.076,2861,0.368,6724,0.36
2,5,2314,91648,0.075,43522,0.14,10341,0.067,125433,0.055,4676,0.184,5268,0.586
3,5,1763,83333,0.092,37742,0.109,5957,0.046,94009,0.082,5921,0.087,2765,0.752
4,5,1381,93610,0.112766,49981,0.067025,3756,0.024383,132093,0.079989,2898,0.064872,1981,0.688036
5,5,1332,56511,0.110156,17676,0.123048,3371,0.036184,75140,0.09312,2384,0.090604,1317,0.75019
6,5,1056,60216,0.096,32668,0.131,2132,0.025,73056,0.08,1098,0.217,1608,0.879
7,5,823,52210,0.130358,12793,0.318299,3625,0.044313,67129,0.101387,1423,0.098384,1259,0.74027
8,5,3699,160890,0.078836,108187,0.047714,2798,0.011814,182053,0.098801,4363,0.079074,2544,1.092767
9,5,3842,126968,0.146045,71863,0.074252,2522,0.021144,152901,0.100078,7677,0.033086,2010,0.49403
10,5,3739,136071,0.108069,52153,0.103829,11978,0.05774,170530,0.086231,5222,0.064726,2374,0.99663
11,5,2275,96720,0.087,60351,0.055,2579,0.018,91781,0.097,5768,0.073336,1343,1.31869
12,5,1105,77160,0.098976,36502,0.101529,2431,0.021189,92433,0.082849,2342,0.116567,2422,0.738646
13,5,5524,372920,0.008718,110044,0.079477,3512,0.007278,417844,0.061913,14808,0.034036,12188,0.488759
14,5,3944,106650,0.004,22165,0.178,123372,0.826225556,118683,0.082,2394,0.073,2110,0.672
15,5,2747,73168,0.079078286,27764,0.208399,8165,0.070898,93594,0.080571,2249,0.038684,1665,0.653453
16,5,2157,118219,0.014397,63950,0.038905,2033,0.01217,140369,0.08742,472,0.338983,1909,0.772656
17,5,3535,96184,0.020148881,47849,0.040565111,2917,0.021961558,102177,0.109320101,2898,0.043133195,1881,0.567251462
1,6,3208,119515,0.095,28225,0.293,11661,0.05,126679,0.089,2799,0.403,6624,0.424
2,6,2000,106422,0.069,6561,1.2,13187,0.071,145230,0.051,4382,0.288,4666,0.747
3,6,1817,89879,0.084,47962,0.096,3765,0.027,10749,0.72,3155,0.185,2647,0.927
4,6,1978,97688,0.120742,144841,0.036474,2644,0.018254,124566,0.094689,3097,0.074911,1814,0.787211
